TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-03-15 02:10:40,1773540640976,student-point.vercel.app/,GET,,500,hpsqn-1773540640533-64ab8e6d227f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",error,production,main,MISS,function,/,student-point.vercel.app,student-point-lmhwzk63b-chatdatas-projects.vercel.app,dpl_5Bdhp3BcRMXJSvEruB57ioJKuQKP,,,,,"TypeError: (0 , r.useRef) is not a function
    at /var/task/.next/server/app/page.js:16:155242
    at em (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:131878)
    at /var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:142926
    at Object.toJSON (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:146504)
    at stringify (<anonymous>)
    at eR (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:134889)
    at eP (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:135332)
    at Timeout._onTimeout (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:132112)
    at listOnTimeout (node:internal/timers:605:17)
    at process.processTimers (node:internal/timers:541:7)",prj_7WI7ZZviRrwA83nmqx03p13RE2hE,,,,,
2026-03-15 02:10:40,1773540640976,student-point.vercel.app/,GET,,500,hpsqn-1773540640533-64ab8e6d227f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",error,production,main,MISS,function,/,student-point.vercel.app,student-point-lmhwzk63b-chatdatas-projects.vercel.app,dpl_5Bdhp3BcRMXJSvEruB57ioJKuQKP,,,,,"TypeError: (0 , r.useRef) is not a function
    at /var/task/.next/server/app/page.js:16:155242
    at em (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:131878)
    at /var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:142926
    at Object.toJSON (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:146504)
    at stringify (<anonymous>)
    at eR (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:134889)
    at eP (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:135332)
    at Timeout._onTimeout (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:132112)
    at listOnTimeout (node:internal/timers:605:17)
    at process.processTimers (node:internal/timers:541:7)",prj_7WI7ZZviRrwA83nmqx03p13RE2hE,,,,,
2026-03-15 02:10:40,1773540640977,student-point.vercel.app/,GET,,500,hpsqn-1773540640533-64ab8e6d227f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",error,production,main,MISS,function,/,student-point.vercel.app,student-point-lmhwzk63b-chatdatas-projects.vercel.app,dpl_5Bdhp3BcRMXJSvEruB57ioJKuQKP,,,,,"TypeError: (0 , r.useRef) is not a function
    at /var/task/.next/server/app/page.js:16:155242
    at em (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:131878)
    at /var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:142926
    at Object.toJSON (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:146504)
    at stringify (<anonymous>)
    at eR (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:134889)
    at eP (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:135332)
    at Timeout._onTimeout (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:12:132112)
    at listOnTimeout (node:internal/timers:605:17)
    at process.processTimers (node:internal/timers:541:7)",prj_7WI7ZZviRrwA83nmqx03p13RE2hE,,,,,
2026-03-15 02:10:40,1773540640979,student-point.vercel.app/,GET,,500,hpsqn-1773540640533-64ab8e6d227f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",error,production,main,MISS,function,/,student-point.vercel.app,student-point-lmhwzk63b-chatdatas-projects.vercel.app,dpl_5Bdhp3BcRMXJSvEruB57ioJKuQKP,,,,,"[Error: An error occurred in the Server Components render. The specific message is omitted in production builds to avoid leaking sensitive details. A digest property is included on this error instance which may provide additional details about the nature of the error.] {
  digest: '3439289016'
}",prj_7WI7ZZviRrwA83nmqx03p13RE2hE,,,,,
2026-03-15 02:10:40,1773540640533,student-point.vercel.app/,GET,,500,hpsqn-1773540640533-64ab8e6d227f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",,production,main,MISS,function,/,student-point.vercel.app,student-point-lmhwzk63b-chatdatas-projects.vercel.app,dpl_5Bdhp3BcRMXJSvEruB57ioJKuQKP,70,iad1,255,2048,,prj_7WI7ZZviRrwA83nmqx03p13RE2hE,,,01KKQM524GVMCFZF7371N8ET7A,ukZlstivyqPW,1
2026-03-15 02:10:32,1773540632207,student-point.vercel.app/api/exchange-records,GET,,304,lhl94-1773540632207-c675ac2c4bf8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",,production,main,HIT,static,/api/exchange-records,student-point.vercel.app,student-point-lmhwzk63b-chatdatas-projects.vercel.app,dpl_5Bdhp3BcRMXJSvEruB57ioJKuQKP,41,sin1,,,,prj_7WI7ZZviRrwA83nmqx03p13RE2hE,,,,,
2026-03-15 02:10:32,1773540632188,student-point.vercel.app/api/students,GET,,304,zmskn-1773540632188-f7ad1290b446,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",,production,main,HIT,static,/api/students,student-point.vercel.app,student-point-lmhwzk63b-chatdatas-projects.vercel.app,dpl_5Bdhp3BcRMXJSvEruB57ioJKuQKP,25,sin1,,,,prj_7WI7ZZviRrwA83nmqx03p13RE2hE,,,,,
2026-03-15 02:10:32,1773540632187,student-point.vercel.app/api/score-items,GET,,405,zmwh8-1773540632187-587e53c59617,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",,production,main,MISS,function,/api/score-items,student-point.vercel.app,student-point-lmhwzk63b-chatdatas-projects.vercel.app,dpl_5Bdhp3BcRMXJSvEruB57ioJKuQKP,12,iad1,237,2048,,prj_7WI7ZZviRrwA83nmqx03p13RE2hE,,,01KKQM4SQRFA211BXT32F3RSY6,CUHyYpCrEdLQ,1
2026-03-15 02:10:32,1773540632187,student-point.vercel.app/api/score-records,GET,,405,hpsqn-1773540632187-af5a63638eee,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",,production,main,MISS,function,/api/score-records,student-point.vercel.app,student-point-lmhwzk63b-chatdatas-projects.vercel.app,dpl_5Bdhp3BcRMXJSvEruB57ioJKuQKP,61,iad1,235,2048,,prj_7WI7ZZviRrwA83nmqx03p13RE2hE,,,01KKQM4SQ9FA33ZDRZW60BA9RD,CUHyYpCrEdLQ,1
2026-03-15 02:10:31,1773540631924,student-point.vercel.app/admin,GET,,304,gzlxp-1773540631924-7938e6a5d8b9,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,student-point.vercel.app,student-point-lmhwzk63b-chatdatas-projects.vercel.app,dpl_5Bdhp3BcRMXJSvEruB57ioJKuQKP,25,sin1,251,2048,,prj_7WI7ZZviRrwA83nmqx03p13RE2hE,,,01KKQM4SDF4YNGNWGG1EAJJ6SV,9H6EvFVIGAxP,1
